request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_730a6561b3285aef,mol_sflktuopekbfcc-uhfffaoysa-n,FC(Cl)=C(F)C(F)(F)C(F)(F)C(F)(F)F,FC(Cl)=C(F)C(F)(F)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_5ae426ff87730cc10a6d priority_score=0.762; completed quantum pilot results already ingested
qreq_a43fa0f48546c5b3,mol_txkvrxoguifasb-uhfffaoysa-n,FC(F)=C(F)C(Cl)(C(F)(F)F)C(F)(F)F,FC(F)=C(F)C(Cl)(C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_ce19faf5b84c25660283 priority_score=0.762; completed quantum pilot results already ingested
qreq_f7770e2b4813927e,mol_tzzablhbgcxdtj-uhfffaoysa-n,FC(=C(Cl)C(F)(F)C(F)(F)F)C(F)(F)F,FC(=C(Cl)C(F)(F)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_300bd60239de6b3e3447 priority_score=0.762; completed quantum pilot results already ingested
qreq_f34bb63039c85ca9,mol_vmdpbrciafdnci-uhfffaoysa-n,FC(F)(F)C(Cl)=C(Cl)C(F)(F)C(F)(F)Cl,FC(F)(F)C(Cl)=C(Cl)C(F)(F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_2e90d9665e0ca7603bb0 priority_score=0.762; completed quantum pilot results already ingested
qreq_b11ae2d0e222e6c8,mol_vvmqlakdfblchb-uhfffaoysa-n,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_730225dcd012cd1db155 priority_score=0.762; completed quantum pilot results already ingested
qreq_2c01de091f195f18,mol_ydycbrduvscrav-uhfffaoysa-n,FC(F)(F)C(Cl)=C(Cl)C(F)(F)C(F)(F)F,FC(F)(F)C(Cl)=C(Cl)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_f5d9a518703606e54694 priority_score=0.762; completed quantum pilot results already ingested
qreq_5f9c3e14b3697985,mol_yhaaemitohiabs-uhfffaoysa-n,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_fd55156656d1b5a89c10 priority_score=0.762; completed quantum pilot results already ingested
qreq_c36336a9efe64150,mol_yjbueepbsldzmj-uhfffaoysa-n,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)Cl,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_4e8a48490b89c553591e priority_score=0.762; completed quantum pilot results already ingested
qreq_b049ccba9fdfcd7d,mol_yrrpccawthvpox-uhfffaoysa-n,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)Cl,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_2c5bb0c42f13dd8fee29 priority_score=0.762; completed quantum pilot results already ingested
qreq_6f02ac1cde92267c,mol_zhwxbdjjughqhy-uhfffaoysa-n,FC(=C(Cl)Cl)C(F)(F)C(F)(F)C(F)(F)Cl,FC(=C(Cl)Cl)C(F)(F)C(F)(F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_dc1d9e8cbf34707a85c1 priority_score=0.762; completed quantum pilot results already ingested
