queue_entry_id,mol_id,campaign_id,model_version,acquisition_strategy,priority_score,uncertainty_score,novelty_score,feasibility_score,hard_constraint_status,recommended_next_action,payload_json,status,created_at,updated_at,expires_at,notes
alq_e86b2ae230d88f2c18d7,mol_afabghuzzdyhjo-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.677,0.5,0.3,0.946667,passed,literature_search,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9466666666666667, ""novelty"": 0.3, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_isohexane""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_954dfd028923f9bce849,mol_crsoqbowxpbres-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.668333,0.5,0.25,0.955556,passed,literature_search,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9555555555555556, ""novelty"": 0.25, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_neopentane""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_fd79e32fd33a2850605c,mol_dmupymoryhffct-owojbtedsa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.668,0.9,0.4,0.82,passed,literature_search,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""boiling_point_c"", ""cop_standard_cycle"", ""critical_pressure_mpa"", ""critical_temp_c"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": ""R-1225ye(E)"", ""score_components"": {""coverage_gap"": 0.9, ""feasibility"": 0.82, ""novelty"": 0.4, ""performance"": 0.5, ""uncertainty"": 0.9}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""tierc_candidate_1225yee""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_802d6c3ba7298b7a6e00,mol_wzlfpvprzgtckp-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.659667,0.4,0.45,0.864444,passed,manual_curation,"{""coverage_tier"": ""A"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": ""R-365mfc"", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.8644444444444445, ""novelty"": 0.45, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""anchor_r365mfc""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_e4b97277493d74037b90,mol_rmlfhpwptxwznj-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,novelty_search,0.659,0.2,0.95,0.66,passed,run_cycle,"{""coverage_tier"": ""B"", ""missing_properties"": [""thermal_conductivity_liquid_wmk"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.2, ""feasibility"": 0.66, ""novelty"": 0.95, ""performance"": 1.0, ""uncertainty"": 0.2}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_novec649""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_4cdb757fa4efd0a5a43f,mol_vxnzuuainfgpby-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.658333,0.5,0.2,0.955556,passed,literature_search,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9555555555555556, ""novelty"": 0.2, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_1_butene""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_e4489cb99ba21083bda3,mol_wsldoozrejycgb-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.656333,0.5,0.2,0.942222,passed,literature_search,"{""coverage_tier"": ""C"", ""missing_properties"": [""ashrae_safety"", ""odp"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9422222222222222, ""novelty"": 0.2, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_dichloroethane""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_f38ac6d659bf1ede9c1a,mol_iaqrguvfomomem-arjawskdsa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.651667,0.5,0.2,0.911111,passed,literature_search,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9111111111111111, ""novelty"": 0.2, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_cis_2_butene""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_5cb53600dc9111617c12,mol_iaqrguvfomomem-onegzznksa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,coverage_gap,0.651667,0.5,0.2,0.911111,passed,literature_search,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""gwp_100yr"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": """", ""score_components"": {""coverage_gap"": 0.5, ""feasibility"": 0.9111111111111111, ""novelty"": 0.2, ""performance"": 1.0, ""uncertainty"": 0.5}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_trans_2_butene""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
alq_8a64c68d9966bd5b0887,mol_awtofsdlnreifs-uhfffaoysa-n,v1_6_deterministic_gap_queue,v1.6.3-draft,uncertainty_sampling,0.651,0.4,0.4,0.873333,passed,manual_curation,"{""coverage_tier"": ""B"", ""missing_properties"": [""ashrae_safety"", ""thermal_conductivity_liquid_wmk"", ""toxicity_class"", ""viscosity_liquid_pas""], ""queue_scope"": ""promoted_gap"", ""r_number"": ""R-245ca"", ""score_components"": {""coverage_gap"": 0.4, ""feasibility"": 0.8733333333333333, ""novelty"": 0.4, ""performance"": 1.0, ""uncertainty"": 0.4}, ""score_weights"": {""coverage_gap"": 0.1, ""feasibility"": 0.15, ""novelty"": 0.2, ""performance"": 0.3, ""uncertainty"": 0.25}, ""seed_id"": ""seed_r245ca""}",proposed,,,,deterministic active-learning queue; does not mutate recommendations or model_ready
