name,property_code,property_name_candidate,value,value_num,unit,source_sheet,match_status,next_action,notes
"1,1-Dichloropropane",Tc_K,critical_temp_c,286.85,286.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dichloropropane",Pc_MPa,critical_pressure_mpa,4.24,4.24,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3-Dioxane",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,39.09,39.09,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Hexafluoropropylene,omega,acentric_factor,0.2046,0.2046,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloro-2,2,3,3-Tetrafluoropropane",Tb_K,boiling_point_c,94.69,94.69,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Propane, 2-Chloro-2-Methyl-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,28.98,28.98,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloro-2,2,3-Trifluoropropane",Tb_K,boiling_point_c,98.1,98.10000000000002,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Butane, 2-Chloro-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,31.53,31.53,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
TRIMETHYL-SILANE,omega,acentric_factor,0.1751,0.1751,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-Trichloro-2,2-Difluoropropane",Tb_K,boiling_point_c,73,73.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dimethylcyclohexane",Tc_K,critical_temp_c,318,318.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dimethylcyclohexane",Pc_MPa,critical_pressure_mpa,2.938,2.938,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Butane,2-Chloro-,(+-)-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,31.53,31.53,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Propargyl-Chloride,omega,acentric_factor,0.1519,0.1519,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
