request_id,mol_id,conformer_index,relative_energy_kcal_mol,relative_energy_kj_mol,boltzmann_weight,source_xyz,artifact_uri,artifact_sha256,notes
qreq_29fba20316b7c5b9,mol_frchksnazzfgca-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_fe09f64af63b93d0/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_29fba20316b7c5b9/qreq_29fba20316b7c5b9_crest_artifact.tar.gz,3ef300a614aa0e5630e62d39dbce4ee70e8e50a892d32f97015dcf2a6dd69b94,phase-2 conformer detail; execution_kind=singleton
qreq_30813c4b3ffc992b,mol_vnwktokethgbqd-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4bc62fd46818553d/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_30813c4b3ffc992b/qreq_30813c4b3ffc992b_crest_artifact.tar.gz,e7e414e76b4eeee7e9a6332d1ac48a805b3c62fdc4bb9f3f8d6568b341863606,phase-2 conformer detail; execution_kind=singleton
qreq_34aac6735bed5d08,mol_curltugmzlyldi-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_f5d93b2299966701/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_34aac6735bed5d08/qreq_34aac6735bed5d08_crest_artifact.tar.gz,7b96ae08df3365fdfa4fdbbbbfb2aefa586d502913dfb6394ecdcae8a65994ba,phase-2 conformer detail; execution_kind=singleton
qreq_37fc7bbfd7f4c13a,mol_wzlfpvprzgtckp-uhfffaoysa-n,1,1.0,4.184,0.8202625594033195,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_258ae6cf1f745439/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_37fc7bbfd7f4c13a/qreq_37fc7bbfd7f4c13a_crest_artifact.tar.gz,0e426db518099c9824c970e7cd4c4bbebef5e1641a173512f41833c691f8c35e,phase-2 conformer detail; execution_kind=crest
qreq_37fc7bbfd7f4c13a,mol_wzlfpvprzgtckp-uhfffaoysa-n,2,2.0,8.368,0.15168680440934168,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_258ae6cf1f745439/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_37fc7bbfd7f4c13a/qreq_37fc7bbfd7f4c13a_crest_artifact.tar.gz,0e426db518099c9824c970e7cd4c4bbebef5e1641a173512f41833c691f8c35e,phase-2 conformer detail; execution_kind=crest
qreq_37fc7bbfd7f4c13a,mol_wzlfpvprzgtckp-uhfffaoysa-n,3,3.0,12.552,0.028050636187338766,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_258ae6cf1f745439/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_37fc7bbfd7f4c13a/qreq_37fc7bbfd7f4c13a_crest_artifact.tar.gz,0e426db518099c9824c970e7cd4c4bbebef5e1641a173512f41833c691f8c35e,phase-2 conformer detail; execution_kind=crest
qreq_3b26fee83ed7b562,mol_rfcauadvodfslz-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_68755da2689d9b0c/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_3b26fee83ed7b562/qreq_3b26fee83ed7b562_crest_artifact.tar.gz,9e4d95754a6afa1ed13044a3b21a585702e6b651493d4fa79330fd2cbadfeada,phase-2 conformer detail; execution_kind=crest
qreq_405ffe4772cc82ad,mol_bougcjdaqlkbqh-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_4ee26b6711da2d43/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_405ffe4772cc82ad/qreq_405ffe4772cc82ad_crest_artifact.tar.gz,6727f74f1499b5aa8153ac867ad61b6479b027a1c415b3e5c0a6e15a8e607698,phase-2 conformer detail; execution_kind=crest
qreq_425504e28870e067,mol_ohmhbgpwchtmqe-uhfffaoysa-n,1,1.0,4.184,0.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_9d4e941dbcba43dd/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_425504e28870e067/qreq_425504e28870e067_crest_artifact.tar.gz,2954dc361caab7df3dae22dc99ce1512817e17dd9883cf67ba1f96920a47dd8a,phase-2 conformer detail; execution_kind=crest
qreq_464b90228442c085,mol_ujpmyeoubpiphq-uhfffaoysa-n,1,0.0,0.0,1.0,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_pilot_artifacts/qreq_e09229e346337824/xtbopt.xyz,/home/ifs1/myDB/R-PhysGen-DB/data/raw/manual/quantum_phase2_artifacts/crest_conformer/qreq_464b90228442c085/qreq_464b90228442c085_crest_artifact.tar.gz,50902c8598184cf3b0fcbb967c90934e1c05e0211a0ff85a11e93c733126aed3,phase-2 conformer detail; execution_kind=singleton
