substance_id,refrigerant_number,cas_number,canonical_smiles,isomeric_smiles,inchi,inchikey,resolution_source,resolution_source_url,resolution_confidence,notes
SUB092,R-C316,356-18-3,FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl,FC1(F)C(F)(F)C(F)(Cl)C1(F)Cl,"InChI=1S/C4Cl2F6/c5-1(7)2(6,8)4(11,12)3(1,9)10",LMHAGAHDHRQIMB-UHFFFAOYSA-N,PubChem CID 9643 cross-checked against NIST refrigerant reference,https://pubchem.ncbi.nlm.nih.gov/compound/9643,high,NIST cross-check reference: https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=933561
SUB098,R-E245ca1,69948-24-9,FCC(F)(F)OC(F)F,FCC(F)(F)OC(F)F,"InChI=1S/C3H3F5O/c4-1-3(7,8)9-2(5)6/h2H,1H2",MFNUKMQUVGMCEW-UHFFFAOYSA-N,PubChem CID 22178540 cross-checked against NIST refrigerant reference,https://pubchem.ncbi.nlm.nih.gov/compound/22178540,high,NIST cross-check reference: https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=933561
