mixture_id,component_mol_id,composition_basis,fraction_value,source_id,source_name,source_url,notes
MIX_511A,mol_atuoywhbwrkthz-uhfffaoysa-n,mass_fraction,0.95,source_manual_mixture_fraction_curations,Manual Mixture Fraction Curations,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,R-290 propane: ASHRAE Table 2 lists R-511A composition R-290/E170 (95.0/5.0) and safety group A3
MIX_511A,mol_lcglnkutagevqw-uhfffaoysa-n,mass_fraction,0.05,source_manual_mixture_fraction_curations,Manual Mixture Fraction Curations,https://handbook.ashrae.org/Handbooks/F25/SI/F25_Ch29/F25_Ch29_si.aspx,R-E170 dimethyl ether: ASHRAE Table 2 lists R-511A composition R-290/E170 (95.0/5.0) and safety group A3
