request_id,mol_id,xyz_path,xyz_status,notes
qreq_95d9aae33b95135b,mol_xpdwgbqvdmorpb-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_95d9aae33b95135b.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_03721bb6b2f4c435,mol_fyirupztypildh-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_03721bb6b2f4c435.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_2d80adc47a5db8a9,mol_awtofsdlnreifs-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_2d80adc47a5db8a9.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_258ae6cf1f745439,mol_wzlfpvprzgtckp-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_258ae6cf1f745439.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_995eb861bf73a8d0,mol_nehmkbqyuwjmip-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_995eb861bf73a8d0.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_2968e9ed041dc5df,mol_nbvxsuqywxrmnv-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_2968e9ed041dc5df.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_4bc62fd46818553d,mol_vnwktokethgbqd-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_4bc62fd46818553d.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_62d1e6a2653503dc,mol_tzihfwkzfhzasv-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_62d1e6a2653503dc.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_604b490c1ec2a355,mol_ufhflcqgniynrp-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_604b490c1ec2a355.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_10785462c7c9d313,mol_swqjxjoglnczey-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_10785462c7c9d313.xyz,generated,XYZ generated from single-atom SMILES using deterministic coordinates; xTB executor available
qreq_195360bfb8d39ca5,mol_gkaogpiiycishv-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_195360bfb8d39ca5.xyz,generated,XYZ generated from single-atom SMILES using deterministic coordinates; xTB executor available
qreq_2bb701254a8634bc,mol_ijgrmhoshxdmsa-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_2bb701254a8634bc.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_a28744f46b82c10c,mol_mymofizgzyhomd-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_a28744f46b82c10c.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_30477401480e461b,mol_xkrfyhlgvusroy-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_30477401480e461b.xyz,generated,XYZ generated from single-atom SMILES using deterministic coordinates; xTB executor available
qreq_a0882ffcd89786cb,mol_gqplmrytrlflpf-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_a0882ffcd89786cb.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
qreq_f21d10a38d15d534,mol_rahzwnyvwxnfoc-uhfffaoysa-n,/home/ifs1/myDB/R-PhysGen-DB/data/raw/generated/governance_xtb_xyz/qreq_f21d10a38d15d534.xyz,generated,XYZ generated from canonical/isomeric SMILES using RDKit ETKDG; xTB executor available
