mol_id,seed_id,r_number,canonical_smiles,coverage_tier,entity_scope,property_name,canonical_feature_key,missing_feature_key,recommended_action,priority
mol_rwsotubldixvet-uhfffaoysa-n,seed_hydrogensulfide,,S,B,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,204
mol_tvmxdcgiabbofy-uhfffaoysa-n,seed_n_octane,,CCCCCCCC,B,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,204
mol_ugfairiumavxcw-uhfffaoysa-n,seed_carbonmonoxide,,[C-]#[O+],B,refrigerant,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,204
mol_vexzgxhmugyjmc-uhfffaoysa-n,seed_hydrogenchloride,,Cl,B,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,204
mol_vlkzoeoyakhrep-uhfffaoysa-n,seed_n_hexane,,CCCCCC,B,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,204
mol_vxnzuuainfgpby-uhfffaoysa-n,seed_1_butene,,C=CCC,B,candidate,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,204
mol_xdtmqsrobmdmfd-uhfffaoysa-n,seed_cyclohexane,,C1CCCCC1,B,refrigerant,gwp_100yr,environmental.gwp_100yr,environmental.gwp_100yr,literature_search,204
mol_pxgokwxkjxapgv-uhfffaoysa-n,seed_fluorine,,FF,B,candidate,odp,environmental.odp,environmental.odp,literature_search,205
mol_vexzgxhmugyjmc-uhfffaoysa-n,seed_hydrogenchloride,,Cl,B,candidate,odp,environmental.odp,environmental.odp,literature_search,205
mol_afabghuzzdyhjo-uhfffaoysa-n,seed_isohexane,,CCCC(C)C,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_awtofsdlnreifs-uhfffaoysa-n,seed_r245ca,R-245ca,FCC(F)(F)C(F)F,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_crsoqbowxpbres-uhfffaoysa-n,seed_neopentane,,CC(C)(C)C,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_cscppacgzoocgx-uhfffaoysa-n,seed_acetone,,CC(C)=O,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_frchksnazzfgca-uhfffaoysa-n,seed_r141b,R-141b,CC(F)(Cl)Cl,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_fyirupztypildh-uhfffaoysa-n,seed_r236ea,R-236ea,FC(F)C(F)C(F)(F)F,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_gqplmrytrlflpf-uhfffaoysa-n,seed_nitrousoxide,R-744A,[N-]=[N+]=O,B,refrigerant,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
mol_iaqrguvfomomem-arjawskdsa-n,seed_cis_2_butene,,CC=CC,B,candidate,ashrae_safety,safety.safety_group,safety.safety_group,literature_search,206
